accession,celltype,scarvcell_overlap,accession_auditable,n_contexts,n_cells,FSSI,equal_weight_FSSI,pathological_component,repair_component
GSE181316,F6: Inflammatory myofibroblast,True,True,2.0,545.0,0.5628899222128219,0.435304526604923,0.1948882264576331,-1.0817880610683457
GSE181316,F6: Myofibroblast,True,True,3.0,14037.0,0.9502386924977821,0.93195165768195,0.8565189236354934,-1.082387577129454
GSE181316,F7: Fascia-like myofibroblast,True,True,3.0,2057.0,1.297134789226911,1.2948495695781819,1.2670461315966393,-1.3395610840649552
GSE181316,F_Fascia,True,True,1.0,21.0,1.358290298083698,1.442434037418604,1.4029960983572964,-1.2952532066094016
GSE181907,F1: Superficial,False,True,1.0,21.0,-0.5205101409993845,-0.8183274183206993,-0.7934107218521489,0.13570864380385522
GSE181907,F2/3: Stroma_PPARG+,False,True,1.0,36.0,-1.3282741331052506,-1.4883806917111102,-1.17903275234078,1.5387108664469091
GSE181907,F2: Universal,False,True,1.0,10.0,-1.0948577543823026,-1.01124315957093,-0.7492684558025628,1.5821534541301339
GSE181907,F3: FRC-like,False,True,1.0,28.0,-1.1156383090650126,-1.4638262319515127,-1.3656594372852653,0.7630978191582692
GSE181907,F4: DP_HHIP+,False,True,1.0,117.0,-0.2599652740963349,-0.3789780772302579,-1.63414436940805,-1.6776860553306197
GSE181907,F4: DS_DPEP1+,False,True,1.0,113.0,-0.31567399940751656,-0.7409096628649855,-0.4574245760797134,0.11579962038880848
GSE181907,F4: TNN+COCH+,False,True,1.0,59.0,-0.4808011976373156,-0.9462067653187394,-0.5072755996258284,0.44347115791844754
GSE181907,F5: NGFR+,False,True,1.0,4.0,-0.8943902585331013,-1.0913524000540513,-1.5801472617266157,-0.07255646146509842
GSE181907,F5: RAMP1+,False,True,1.0,4.0,-0.9157634725587501,-1.2032965821424528,-1.117749001636403,0.6309552330231751
GSE181907,F6: Inflammatory myofibroblast,False,True,1.0,151.0,0.09200968583662451,-0.13303588968179159,-0.3805578776647083,-0.758350172885517
GSE181907,F6: Myofibroblast,False,True,1.0,160.0,0.5031188686823308,0.23018504998890177,0.35486219674988523,-0.7121671204323377
GSE181907,F7: Fascia-like myofibroblast,False,True,1.0,53.0,0.48571935790530746,0.22514034738145608,0.266218747379954,-0.7952246118023644
GSE186476,F1: Superficial,False,True,5.0,3647.0,-0.7334642072331538,-1.037621655707032,-0.9448943924837285,0.4353385983300204
GSE186476,F2/3: Stroma_PPARG+,False,True,5.0,664.0,-1.9223633346489073,-2.5442268056653483,-1.2564022683674199,2.8613969364766296
GSE186476,F2: Universal,False,True,5.0,1816.0,-1.3423637671720858,-1.5968358456335205,-0.7789351631637942,2.1368222095385074
GSE186476,F3: FRC-like,False,True,5.0,2128.0,-1.6504306673273477,-2.2092153052759866,-1.4488251795331144,1.9347030323902565
GSE186476,F4: DP_HHIP+,False,True,4.0,84.0,-0.2378986660500522,-0.4543166826574372,-1.1649355127130516,-1.0692629582918394
GSE186476,F4: DS_DPEP1+,False,True,5.0,938.0,-0.951310560156777,-1.467592259967167,-0.7161433927905191,1.282906329616099
GSE186476,F4: TNN+COCH+,False,True,5.0,366.0,-0.5877298700507873,-0.8890581771372651,-0.5254566452988093,0.6755377817997311
GSE186476,F5: NGFR+,False,True,5.0,294.0,-1.4677001339448967,-1.791467727840187,-1.4577167527190649,1.4817771286906403
GSE186476,F5: RAMP1+,False,True,5.0,219.0,-1.441004686695942,-1.9478617997550753,-1.1879150428313747,1.7978719149716973
GSE186476,F6: Inflammatory myofibroblast,False,True,5.0,26.0,-0.15764813054266483,-0.6776849295654214,-0.17186913867098425,0.1375959005242925
GSE186476,F6: Myofibroblast,False,True,5.0,50.0,-0.2385466584522017,-0.5462432202024051,-0.37859968983624076,0.0410658909325938
GSE186476,F7: Fascia-like myofibroblast,False,True,5.0,17.0,0.683068847956672,0.5651074027097001,0.4992552364128977,-0.9422539061413723
GSE189889,F1: Superficial,False,True,1.0,66.0,-0.2008063260259394,-0.4631846559265302,-0.3601760570236967,-0.02391181456560565
GSE189889,F2/3: Stroma_PPARG+,False,True,1.0,128.0,-1.1580320973893368,-1.4282341370386469,-0.9173138160790292,1.4974551750577456
GSE189889,F2: Universal,False,True,1.0,27.0,-0.5816917538085263,-0.7697811537104433,-0.44072862591122364,0.780455796357459
